age_group,gender,height_category,weight_category,gymorhome,goal,budget,diet_type,workout_plan,diet_plan
senior,male,short,normal,home,stamina,medium,non-vegetarian,Mon: Running in Place; Tue: Burpees; Wed: HIIT Cardio; Thu: HIIT Cardio; Fri: Jump Rope; Sat: Jump Rope; Sun: Bodyweight Circuit,Breakfast: Grilled Chicken + Rice; Lunch: Grilled Chicken + Rice; Snacks: Fruit + Nuts; Dinner: Egg Omelette + Toast; Breakfast2: Egg Omelette + Toast; Lunch2: Fruit + Nuts; Snacks2: Fish Soup + Veggies
senior,male,medium,normal,home,stamina,high,vegan,Mon: Burpees; Tue: Jump Rope; Wed: Running in Place; Thu: Running in Place; Fri: HIIT Cardio; Sat: HIIT Cardio; Sun: Burpees,Breakfast: Veg Wrap + Rice; Lunch: Veggie Soup + Bread; Snacks: Veggie Soup + Bread; Dinner: Fruit + Nuts; Breakfast2: Fruit + Nuts; Lunch2: Veg Wrap + Rice; Snacks2: Smoothie Bowl
young,female,short,overweight,gym,muscle-gain,high,vegetarian,Mon: Deadlift; Tue: Squat Rack; Wed: Leg Press; Thu: Bench Press; Fri: Pull-up Bar; Sat: Bench Press; Sun: Pull-up Bar,Breakfast: Paneer + Brown Rice; Lunch: Nuts + Smoothie; Snacks: Chickpeas + Quinoa; Dinner: Chickpeas + Quinoa; Breakfast2: Paneer + Brown Rice; Lunch2: Tofu Stir Fry + Veggies; Snacks2: Nuts + Smoothie
middle,female,tall,normal,home,flexibility,medium,vegan,Mon: Pilates Mat; Tue: Mobility Drills; Wed: Pilates Mat; Thu: Yoga Flow; Fri: Stretching; Sat: Balance Exercises; Sun: Balance Exercises,Breakfast: Salads + Tofu; Lunch: Fruit + Almond Yogurt; Snacks: Salads + Tofu; Dinner: Veg Stir Fry + Rice; Breakfast2: Oatmeal + Soy Milk; Lunch2: Oatmeal + Soy Milk; Snacks2: Veg Stir Fry + Rice
young,female,tall,underweight,home,muscle-gain,medium,vegan,Mon: Lunges; Tue: Push-ups; Wed: Lunges; Thu: Squats; Fri: Resistance Bands; Sat: Pull-ups; Sun: Resistance Bands,Breakfast: Tempeh Stir Fry + Veggies; Lunch: Tofu + Quinoa; Snacks: Tofu + Quinoa; Dinner: Nuts + Smoothie; Breakfast2: Nuts + Smoothie; Lunch2: Chickpeas + Brown Rice; Snacks2: Chickpeas + Brown Rice
young,male,tall,underweight,home,muscle-gain,low,vegan,Mon: Lunges; Tue: Pull-ups; Wed: Resistance Bands; Thu: Pull-ups; Fri: Resistance Bands; Sat: Lunges; Sun: Squats,Breakfast: Chickpeas + Brown Rice; Lunch: Nuts + Smoothie; Snacks: Tempeh Stir Fry + Veggies; Dinner: Chickpeas + Brown Rice; Breakfast2: Tofu + Quinoa; Lunch2: Nuts + Smoothie; Snacks2: Tofu + Quinoa
teen,female,short,obese,home,weight-loss,medium,vegetarian,Mon: Jumping Jacks; Tue: High Knees; Wed: Burpees; Thu: Mountain Climbers; Fri: Mountain Climbers; Sat: High Knees; Sun: Jumping Jacks,Breakfast: Oats + Skim Milk + Banana; Lunch: Lentil Soup + Veggies; Snacks: Vegetable Salad + Quinoa; Dinner: Lentil Soup + Veggies; Breakfast2: Fruit + Nuts; Lunch2: Vegetable Salad + Quinoa; Snacks2: Oats + Skim Milk + Banana
young,male,short,underweight,home,muscle-gain,medium,non-vegetarian,Mon: Resistance Bands; Tue: Lunges; Wed: Resistance Bands; Thu: Lunges; Fri: Squats; Sat: Push-ups; Sun: Squats,Breakfast: Eggs + Quinoa; Lunch: Fish Stir Fry + Veggies; Snacks: Chicken Breast + Brown Rice; Dinner: Eggs + Quinoa; Breakfast2: Chicken Breast + Brown Rice; Lunch2: Fish Stir Fry + Veggies; Snacks2: Protein Shake + Nuts
young,female,short,normal,gym,weight-loss,high,vegan,Mon: Battle Ropes; Tue: Rowing Machine; Wed: Spinning; Thu: Treadmill HIIT; Fri: Cross Trainer; Sat: Rowing Machine; Sun: Cross Trainer,Breakfast: Fruit + Nuts; Lunch: Oatmeal + Almond Milk; Snacks: Tofu Soup + Veggies; Dinner: Fruit + Nuts; Breakfast2: Lentil Salad + Veg; Lunch2: Lentil Salad + Veg; Snacks2: Oatmeal + Almond Milk
middle,female,tall,normal,gym,muscle-gain,medium,non-vegetarian,Mon: Squat Rack; Tue: Leg Press; Wed: Squat Rack; Thu: Deadlift; Fri: Bench Press; Sat: Pull-up Bar; Sun: Deadlift,Breakfast: Eggs + Quinoa; Lunch: Chicken Breast + Brown Rice; Snacks: Fish Stir Fry + Veggies; Dinner: Protein Shake + Nuts; Breakfast2: Chicken Breast + Brown Rice; Lunch2: Eggs + Quinoa; Snacks2: Protein Shake + Nuts
young,male,short,obese,gym,muscle-gain,high,non-vegetarian,Mon: Squat Rack; Tue: Bench Press; Wed: Deadlift; Thu: Leg Press; Fri: Squat Rack; Sat: Pull-up Bar; Sun: Leg Press,Breakfast: Fish Stir Fry + Veggies; Lunch: Eggs + Quinoa; Snacks: Fish Stir Fry + Veggies; Dinner: Chicken Breast + Brown Rice; Breakfast2: Eggs + Quinoa; Lunch2: Protein Shake + Nuts; Snacks2: Protein Shake + Nuts
young,male,short,underweight,gym,muscle-gain,high,vegan,Mon: Pull-up Bar; Tue: Bench Press; Wed: Bench Press; Thu: Pull-up Bar; Fri: Squat Rack; Sat: Deadlift; Sun: Leg Press,Breakfast: Tofu + Quinoa; Lunch: Nuts + Smoothie; Snacks: Tempeh Stir Fry + Veggies; Dinner: Chickpeas + Brown Rice; Breakfast2: Nuts + Smoothie; Lunch2: Tempeh Stir Fry + Veggies; Snacks2: Tofu + Quinoa
teen,female,short,overweight,home,muscle-gain,medium,non-vegetarian,Mon: Squats; Tue: Lunges; Wed: Resistance Bands; Thu: Lunges; Fri: Resistance Bands; Sat: Push-ups; Sun: Squats,Breakfast: Fish Stir Fry + Veggies; Lunch: Chicken Breast + Brown Rice; Snacks: Eggs + Quinoa; Dinner: Protein Shake + Nuts; Breakfast2: Fish Stir Fry + Veggies; Lunch2: Eggs + Quinoa; Snacks2: Chicken Breast + Brown Rice
teen,female,short,overweight,home,weight-loss,low,non-vegetarian,Mon: Bodyweight Circuit; Tue: High Knees; Wed: Mountain Climbers; Thu: Jumping Jacks; Fri: Burpees; Sat: Burpees; Sun: Bodyweight Circuit,Breakfast: Eggs + Oats + Milk; Lunch: Chicken + Rice + Veg; Snacks: Protein Shake + Nuts; Dinner: Fish + Sweet Potato; Breakfast2: Fish + Sweet Potato; Lunch2: Protein Shake + Nuts; Snacks2: Eggs + Oats + Milk
young,male,short,underweight,home,flexibility,medium,non-vegetarian,Mon: Pilates Mat; Tue: Balance Exercises; Wed: Stretching; Thu: Yoga Flow; Fri: Mobility Drills; Sat: Yoga Flow; Sun: Pilates Mat,Breakfast: Protein Shake + Nuts; Lunch: Eggs + Oats; Snacks: Protein Shake + Nuts; Dinner: Fish + Veg Stir Fry; Breakfast2: Eggs + Oats; Lunch2: Chicken Salad + Quinoa; Snacks2: Fish + Veg Stir Fry
middle,male,tall,overweight,gym,flexibility,medium,vegan,Mon: Core Machines; Tue: Balance Boards; Wed: Stretching; Thu: Pilates Machines; Fri: Balance Boards; Sat: Yoga Machines; Sun: Core Machines,Breakfast: Salads + Tofu; Lunch: Veg Stir Fry + Rice; Snacks: Oatmeal + Soy Milk; Dinner: Salads + Tofu; Breakfast2: Oatmeal + Soy Milk; Lunch2: Fruit + Almond Yogurt; Snacks2: Fruit + Almond Yogurt
teen,male,medium,normal,gym,muscle-gain,low,vegetarian,Mon: Pull-up Bar; Tue: Deadlift; Wed: Squat Rack; Thu: Bench Press; Fri: Pull-up Bar; Sat: Squat Rack; Sun: Bench Press,Breakfast: Tofu Stir Fry + Veggies; Lunch: Nuts + Smoothie; Snacks: Paneer + Brown Rice; Dinner: Paneer + Brown Rice; Breakfast2: Nuts + Smoothie; Lunch2: Chickpeas + Quinoa; Snacks2: Chickpeas + Quinoa
senior,female,short,obese,gym,weight-loss,medium,non-vegetarian,Mon: Cross Trainer; Tue: Spinning; Wed: Rowing Machine; Thu: Spinning; Fri: Cross Trainer; Sat: Rowing Machine; Sun: Battle Ropes,Breakfast: Chicken + Rice + Veg; Lunch: Protein Shake + Nuts; Snacks: Protein Shake + Nuts; Dinner: Eggs + Oats + Milk; Breakfast2: Fish + Sweet Potato; Lunch2: Chicken + Rice + Veg; Snacks2: Eggs + Oats + Milk
senior,female,medium,obese,home,muscle-gain,high,vegan,Mon: Lunges; Tue: Squats; Wed: Push-ups; Thu: Lunges; Fri: Pull-ups; Sat: Push-ups; Sun: Pull-ups,Breakfast: Chickpeas + Brown Rice; Lunch: Tempeh Stir Fry + Veggies; Snacks: Tofu + Quinoa; Dinner: Nuts + Smoothie; Breakfast2: Nuts + Smoothie; Lunch2: Tempeh Stir Fry + Veggies; Snacks2: Tofu + Quinoa
young,female,tall,overweight,home,muscle-gain,medium,vegetarian,Mon: Pull-ups; Tue: Pull-ups; Wed: Push-ups; Thu: Resistance Bands; Fri: Lunges; Sat: Lunges; Sun: Resistance Bands,Breakfast: Tofu Stir Fry + Veggies; Lunch: Paneer + Brown Rice; Snacks: Nuts + Smoothie; Dinner: Paneer + Brown Rice; Breakfast2: Nuts + Smoothie; Lunch2: Chickpeas + Quinoa; Snacks2: Chickpeas + Quinoa
teen,female,medium,overweight,home,stamina,medium,non-vegetarian,Mon: Bodyweight Circuit; Tue: Burpees; Wed: Jump Rope; Thu: Running in Place; Fri: Jump Rope; Sat: Running in Place; Sun: HIIT Cardio,Breakfast: Fish Soup + Veggies; Lunch: Fruit + Nuts; Snacks: Grilled Chicken + Rice; Dinner: Fruit + Nuts; Breakfast2: Grilled Chicken + Rice; Lunch2: Egg Omelette + Toast; Snacks2: Egg Omelette + Toast
teen,female,tall,underweight,gym,flexibility,medium,vegan,Mon: Balance Boards; Tue: Pilates Machines; Wed: Pilates Machines; Thu: Core Machines; Fri: Stretching; Sat: Yoga Machines; Sun: Core Machines,Breakfast: Fruit + Almond Yogurt; Lunch: Veg Stir Fry + Rice; Snacks: Fruit + Almond Yogurt; Dinner: Veg Stir Fry + Rice; Breakfast2: Oatmeal + Soy Milk; Lunch2: Salads + Tofu; Snacks2: Salads + Tofu
senior,male,short,obese,home,flexibility,medium,vegan,Mon: Yoga Flow; Tue: Balance Exercises; Wed: Pilates Mat; Thu: Pilates Mat; Fri: Balance Exercises; Sat: Stretching; Sun: Yoga Flow,Breakfast: Oatmeal + Soy Milk; Lunch: Veg Stir Fry + Rice; Snacks: Fruit + Almond Yogurt; Dinner: Salads + Tofu; Breakfast2: Fruit + Almond Yogurt; Lunch2: Salads + Tofu; Snacks2: Veg Stir Fry + Rice
senior,male,tall,overweight,gym,flexibility,low,non-vegetarian,Mon: Yoga Machines; Tue: Stretching; Wed: Stretching; Thu: Core Machines; Fri: Core Machines; Sat: Balance Boards; Sun: Pilates Machines,Breakfast: Fish + Veg Stir Fry; Lunch: Chicken Salad + Quinoa; Snacks: Fish + Veg Stir Fry; Dinner: Chicken Salad + Quinoa; Breakfast2: Protein Shake + Nuts; Lunch2: Protein Shake + Nuts; Snacks2: Eggs + Oats
middle,male,short,underweight,gym,weight-loss,high,vegetarian,Mon: Spinning; Tue: Rowing Machine; Wed: Spinning; Thu: Battle Ropes; Fri: Treadmill HIIT; Sat: Cross Trainer; Sun: Battle Ropes,Breakfast: Vegetable Salad + Quinoa; Lunch: Oats + Skim Milk + Banana; Snacks: Oats + Skim Milk + Banana; Dinner: Lentil Soup + Veggies; Breakfast2: Lentil Soup + Veggies; Lunch2: Fruit + Nuts; Snacks2: Vegetable Salad + Quinoa
middle,female,medium,normal,gym,stamina,medium,vegan,Mon: Elliptical; Tue: HIIT Treadmill; Wed: HIIT Treadmill; Thu: Circuit Training; Fri: Jump Rope; Sat: Circuit Training; Sun: Stair Climber,Breakfast: Smoothie Bowl; Lunch: Veg Wrap + Rice; Snacks: Veggie Soup + Bread; Dinner: Veg Wrap + Rice; Breakfast2: Fruit + Nuts; Lunch2: Smoothie Bowl; Snacks2: Fruit + Nuts
middle,male,short,overweight,gym,stamina,high,non-vegetarian,Mon: Circuit Training; Tue: Circuit Training; Wed: HIIT Treadmill; Thu: Stair Climber; Fri: Elliptical; Sat: Elliptical; Sun: Stair Climber,Breakfast: Fish Soup + Veggies; Lunch: Egg Omelette + Toast; Snacks: Fruit + Nuts; Dinner: Grilled Chicken + Rice; Breakfast2: Fruit + Nuts; Lunch2: Fish Soup + Veggies; Snacks2: Grilled Chicken + Rice
young,male,short,overweight,home,stamina,high,non-vegetarian,Mon: Jump Rope; Tue: Bodyweight Circuit; Wed: Jump Rope; Thu: Bodyweight Circuit; Fri: Running in Place; Sat: Running in Place; Sun: HIIT Cardio,Breakfast: Fish Soup + Veggies; Lunch: Fish Soup + Veggies; Snacks: Egg Omelette + Toast; Dinner: Fruit + Nuts; Breakfast2: Grilled Chicken + Rice; Lunch2: Grilled Chicken + Rice; Snacks2: Fruit + Nuts
young,female,short,obese,home,muscle-gain,low,vegan,Mon: Pull-ups; Tue: Squats; Wed: Squats; Thu: Resistance Bands; Fri: Lunges; Sat: Resistance Bands; Sun: Pull-ups,Breakfast: Tofu + Quinoa; Lunch: Nuts + Smoothie; Snacks: Nuts + Smoothie; Dinner: Tempeh Stir Fry + Veggies; Breakfast2: Tofu + Quinoa; Lunch2: Tempeh Stir Fry + Veggies; Snacks2: Chickpeas + Brown Rice
senior,female,tall,overweight,home,flexibility,medium,vegan,Mon: Yoga Flow; Tue: Pilates Mat; Wed: Mobility Drills; Thu: Mobility Drills; Fri: Stretching; Sat: Balance Exercises; Sun: Balance Exercises,Breakfast: Oatmeal + Soy Milk; Lunch: Salads + Tofu; Snacks: Veg Stir Fry + Rice; Dinner: Veg Stir Fry + Rice; Breakfast2: Oatmeal + Soy Milk; Lunch2: Salads + Tofu; Snacks2: Fruit + Almond Yogurt
teen,male,tall,overweight,gym,muscle-gain,low,vegetarian,Mon: Squat Rack; Tue: Deadlift; Wed: Deadlift; Thu: Bench Press; Fri: Leg Press; Sat: Squat Rack; Sun: Pull-up Bar,Breakfast: Tofu Stir Fry + Veggies; Lunch: Paneer + Brown Rice; Snacks: Chickpeas + Quinoa; Dinner: Nuts + Smoothie; Breakfast2: Chickpeas + Quinoa; Lunch2: Nuts + Smoothie; Snacks2: Tofu Stir Fry + Veggies
young,male,medium,overweight,gym,muscle-gain,high,vegetarian,Mon: Pull-up Bar; Tue: Bench Press; Wed: Squat Rack; Thu: Pull-up Bar; Fri: Deadlift; Sat: Bench Press; Sun: Leg Press,Breakfast: Nuts + Smoothie; Lunch: Tofu Stir Fry + Veggies; Snacks: Paneer + Brown Rice; Dinner: Tofu Stir Fry + Veggies; Breakfast2: Paneer + Brown Rice; Lunch2: Chickpeas + Quinoa; Snacks2: Chickpeas + Quinoa
middle,female,short,obese,home,stamina,medium,non-vegetarian,Mon: Running in Place; Tue: Jump Rope; Wed: Burpees; Thu: HIIT Cardio; Fri: Bodyweight Circuit; Sat: Running in Place; Sun: HIIT Cardio,Breakfast: Grilled Chicken + Rice; Lunch: Fruit + Nuts; Snacks: Fish Soup + Veggies; Dinner: Fish Soup + Veggies; Breakfast2: Egg Omelette + Toast; Lunch2: Egg Omelette + Toast; Snacks2: Fruit + Nuts
young,male,medium,normal,gym,weight-loss,medium,non-vegetarian,Mon: Battle Ropes; Tue: Spinning; Wed: Rowing Machine; Thu: Cross Trainer; Fri: Treadmill HIIT; Sat: Cross Trainer; Sun: Spinning,Breakfast: Protein Shake + Nuts; Lunch: Fish + Sweet Potato; Snacks: Eggs + Oats + Milk; Dinner: Chicken + Rice + Veg; Breakfast2: Eggs + Oats + Milk; Lunch2: Protein Shake + Nuts; Snacks2: Chicken + Rice + Veg
young,female,tall,underweight,home,muscle-gain,low,vegan,Mon: Resistance Bands; Tue: Lunges; Wed: Push-ups; Thu: Push-ups; Fri: Resistance Bands; Sat: Lunges; Sun: Squats,Breakfast: Chickpeas + Brown Rice; Lunch: Tempeh Stir Fry + Veggies; Snacks: Nuts + Smoothie; Dinner: Tempeh Stir Fry + Veggies; Breakfast2: Tofu + Quinoa; Lunch2: Chickpeas + Brown Rice; Snacks2: Tofu + Quinoa
middle,female,short,underweight,gym,stamina,medium,non-vegetarian,Mon: Stair Climber; Tue: Elliptical; Wed: HIIT Treadmill; Thu: Jump Rope; Fri: Elliptical; Sat: Stair Climber; Sun: Jump Rope,Breakfast: Fish Soup + Veggies; Lunch: Fruit + Nuts; Snacks: Grilled Chicken + Rice; Dinner: Egg Omelette + Toast; Breakfast2: Grilled Chicken + Rice; Lunch2: Fruit + Nuts; Snacks2: Fish Soup + Veggies
middle,male,tall,overweight,gym,flexibility,high,vegan,Mon: Yoga Machines; Tue: Balance Boards; Wed: Balance Boards; Thu: Core Machines; Fri: Core Machines; Sat: Pilates Machines; Sun: Stretching,Breakfast: Salads + Tofu; Lunch: Salads + Tofu; Snacks: Fruit + Almond Yogurt; Dinner: Fruit + Almond Yogurt; Breakfast2: Veg Stir Fry + Rice; Lunch2: Oatmeal + Soy Milk; Snacks2: Oatmeal + Soy Milk
middle,male,medium,normal,home,weight-loss,low,vegan,Mon: Burpees; Tue: Mountain Climbers; Wed: Mountain Climbers; Thu: Bodyweight Circuit; Fri: High Knees; Sat: Burpees; Sun: Bodyweight Circuit,Breakfast: Tofu Soup + Veggies; Lunch: Tofu Soup + Veggies; Snacks: Fruit + Nuts; Dinner: Fruit + Nuts; Breakfast2: Lentil Salad + Veg; Lunch2: Lentil Salad + Veg; Snacks2: Oatmeal + Almond Milk
teen,female,medium,obese,gym,stamina,high,non-vegetarian,Mon: Circuit Training; Tue: Stair Climber; Wed: Circuit Training; Thu: Jump Rope; Fri: Elliptical; Sat: HIIT Treadmill; Sun: Jump Rope,Breakfast: Fish Soup + Veggies; Lunch: Fruit + Nuts; Snacks: Egg Omelette + Toast; Dinner: Grilled Chicken + Rice; Breakfast2: Fruit + Nuts; Lunch2: Egg Omelette + Toast; Snacks2: Grilled Chicken + Rice
senior,female,tall,underweight,gym,stamina,high,vegan,Mon: Jump Rope; Tue: Stair Climber; Wed: Circuit Training; Thu: Stair Climber; Fri: Jump Rope; Sat: Elliptical; Sun: HIIT Treadmill,Breakfast: Veg Wrap + Rice; Lunch: Veg Wrap + Rice; Snacks: Fruit + Nuts; Dinner: Smoothie Bowl; Breakfast2: Fruit + Nuts; Lunch2: Smoothie Bowl; Snacks2: Veggie Soup + Bread
senior,male,medium,obese,gym,flexibility,medium,vegetarian,Mon: Yoga Machines; Tue: Stretching; Wed: Pilates Machines; Thu: Core Machines; Fri: Pilates Machines; Sat: Core Machines; Sun: Stretching,Breakfast: Veg Stir Fry + Rice; Lunch: Fruit + Yogurt; Snacks: Veg Stir Fry + Rice; Dinner: Fruit + Yogurt; Breakfast2: Oatmeal + Soy Milk; Lunch2: Salads + Tofu; Snacks2: Oatmeal + Soy Milk
young,male,medium,underweight,home,weight-loss,low,vegan,Mon: High Knees; Tue: Mountain Climbers; Wed: Burpees; Thu: Mountain Climbers; Fri: Jumping Jacks; Sat: Jumping Jacks; Sun: Burpees,Breakfast: Fruit + Nuts; Lunch: Fruit + Nuts; Snacks: Lentil Salad + Veg; Dinner: Oatmeal + Almond Milk; Breakfast2: Tofu Soup + Veggies; Lunch2: Lentil Salad + Veg; Snacks2: Oatmeal + Almond Milk
senior,male,tall,obese,home,muscle-gain,medium,vegetarian,Mon: Squats; Tue: Lunges; Wed: Lunges; Thu: Push-ups; Fri: Push-ups; Sat: Pull-ups; Sun: Pull-ups,Breakfast: Paneer + Brown Rice; Lunch: Chickpeas + Quinoa; Snacks: Tofu Stir Fry + Veggies; Dinner: Tofu Stir Fry + Veggies; Breakfast2: Nuts + Smoothie; Lunch2: Nuts + Smoothie; Snacks2: Chickpeas + Quinoa
teen,female,medium,obese,home,muscle-gain,high,non-vegetarian,Mon: Pull-ups; Tue: Push-ups; Wed: Lunges; Thu: Pull-ups; Fri: Push-ups; Sat: Resistance Bands; Sun: Squats,Breakfast: Fish Stir Fry + Veggies; Lunch: Eggs + Quinoa; Snacks: Eggs + Quinoa; Dinner: Chicken Breast + Brown Rice; Breakfast2: Protein Shake + Nuts; Lunch2: Chicken Breast + Brown Rice; Snacks2: Protein Shake + Nuts
teen,female,short,underweight,gym,flexibility,low,vegetarian,Mon: Yoga Machines; Tue: Balance Boards; Wed: Core Machines; Thu: Core Machines; Fri: Stretching; Sat: Stretching; Sun: Pilates Machines,Breakfast: Salads + Tofu; Lunch: Fruit + Yogurt; Snacks: Salads + Tofu; Dinner: Fruit + Yogurt; Breakfast2: Veg Stir Fry + Rice; Lunch2: Oatmeal + Soy Milk; Snacks2: Oatmeal + Soy Milk
senior,male,medium,overweight,home,muscle-gain,medium,vegetarian,Mon: Resistance Bands; Tue: Lunges; Wed: Resistance Bands; Thu: Pull-ups; Fri: Squats; Sat: Push-ups; Sun: Lunges,Breakfast: Paneer + Brown Rice; Lunch: Tofu Stir Fry + Veggies; Snacks: Chickpeas + Quinoa; Dinner: Chickpeas + Quinoa; Breakfast2: Tofu Stir Fry + Veggies; Lunch2: Paneer + Brown Rice; Snacks2: Nuts + Smoothie
young,male,medium,underweight,home,muscle-gain,low,non-vegetarian,Mon: Resistance Bands; Tue: Squats; Wed: Pull-ups; Thu: Lunges; Fri: Resistance Bands; Sat: Push-ups; Sun: Squats,Breakfast: Chicken Breast + Brown Rice; Lunch: Eggs + Quinoa; Snacks: Fish Stir Fry + Veggies; Dinner: Chicken Breast + Brown Rice; Breakfast2: Fish Stir Fry + Veggies; Lunch2: Protein Shake + Nuts; Snacks2: Protein Shake + Nuts
senior,female,tall,obese,gym,weight-loss,high,non-vegetarian,Mon: Cross Trainer; Tue: Treadmill HIIT; Wed: Battle Ropes; Thu: Rowing Machine; Fri: Treadmill HIIT; Sat: Spinning; Sun: Spinning,Breakfast: Protein Shake + Nuts; Lunch: Eggs + Oats + Milk; Snacks: Chicken + Rice + Veg; Dinner: Chicken + Rice + Veg; Breakfast2: Protein Shake + Nuts; Lunch2: Eggs + Oats + Milk; Snacks2: Fish + Sweet Potato
teen,female,short,obese,gym,stamina,medium,vegan,Mon: Circuit Training; Tue: HIIT Treadmill; Wed: Circuit Training; Thu: Elliptical; Fri: Stair Climber; Sat: HIIT Treadmill; Sun: Jump Rope,Breakfast: Veg Wrap + Rice; Lunch: Smoothie Bowl; Snacks: Veggie Soup + Bread; Dinner: Smoothie Bowl; Breakfast2: Fruit + Nuts; Lunch2: Veg Wrap + Rice; Snacks2: Veggie Soup + Bread
teen,female,medium,overweight,gym,muscle-gain,high,vegan,Mon: Deadlift; Tue: Deadlift; Wed: Pull-up Bar; Thu: Bench Press; Fri: Squat Rack; Sat: Bench Press; Sun: Leg Press,Breakfast: Tempeh Stir Fry + Veggies; Lunch: Nuts + Smoothie; Snacks: Chickpeas + Brown Rice; Dinner: Nuts + Smoothie; Breakfast2: Tofu + Quinoa; Lunch2: Tofu + Quinoa; Snacks2: Tempeh Stir Fry + Veggies
middle,male,medium,obese,gym,flexibility,medium,non-vegetarian,Mon: Balance Boards; Tue: Balance Boards; Wed: Pilates Machines; Thu: Stretching; Fri: Yoga Machines; Sat: Stretching; Sun: Core Machines,Breakfast: Protein Shake + Nuts; Lunch: Protein Shake + Nuts; Snacks: Chicken Salad + Quinoa; Dinner: Fish + Veg Stir Fry; Breakfast2: Eggs + Oats; Lunch2: Chicken Salad + Quinoa; Snacks2: Eggs + Oats
young,male,short,normal,gym,stamina,high,non-vegetarian,Mon: Stair Climber; Tue: Circuit Training; Wed: Elliptical; Thu: Circuit Training; Fri: HIIT Treadmill; Sat: Jump Rope; Sun: Jump Rope,Breakfast: Fish Soup + Veggies; Lunch: Fruit + Nuts; Snacks: Egg Omelette + Toast; Dinner: Grilled Chicken + Rice; Breakfast2: Fruit + Nuts; Lunch2: Egg Omelette + Toast; Snacks2: Grilled Chicken + Rice
young,male,short,underweight,home,stamina,medium,non-vegetarian,Mon: HIIT Cardio; Tue: Jump Rope; Wed: Burpees; Thu: HIIT Cardio; Fri: Burpees; Sat: Running in Place; Sun: Running in Place,Breakfast: Fish Soup + Veggies; Lunch: Grilled Chicken + Rice; Snacks: Grilled Chicken + Rice; Dinner: Egg Omelette + Toast; Breakfast2: Fruit + Nuts; Lunch2: Fruit + Nuts; Snacks2: Egg Omelette + Toast
senior,female,tall,normal,gym,stamina,low,vegetarian,Mon: Circuit Training; Tue: Stair Climber; Wed: HIIT Treadmill; Thu: Jump Rope; Fri: Elliptical; Sat: Stair Climber; Sun: Elliptical,Breakfast: Fruit + Nuts; Lunch: Smoothie + Oats; Snacks: Vegetable Soup + Bread; Dinner: Smoothie + Oats; Breakfast2: Fruit + Nuts; Lunch2: Vegetable Soup + Bread; Snacks2: Vegetable Wraps + Rice
middle,male,medium,normal,home,flexibility,high,non-vegetarian,Mon: Stretching; Tue: Balance Exercises; Wed: Balance Exercises; Thu: Stretching; Fri: Pilates Mat; Sat: Yoga Flow; Sun: Mobility Drills,Breakfast: Fish + Veg Stir Fry; Lunch: Chicken Salad + Quinoa; Snacks: Chicken Salad + Quinoa; Dinner: Eggs + Oats; Breakfast2: Protein Shake + Nuts; Lunch2: Eggs + Oats; Snacks2: Fish + Veg Stir Fry
senior,male,short,underweight,gym,weight-loss,high,vegan,Mon: Spinning; Tue: Treadmill HIIT; Wed: Cross Trainer; Thu: Rowing Machine; Fri: Treadmill HIIT; Sat: Battle Ropes; Sun: Battle Ropes,Breakfast: Lentil Salad + Veg; Lunch: Tofu Soup + Veggies; Snacks: Tofu Soup + Veggies; Dinner: Fruit + Nuts; Breakfast2: Fruit + Nuts; Lunch2: Oatmeal + Almond Milk; Snacks2: Lentil Salad + Veg
teen,male,medium,underweight,home,stamina,low,vegan,Mon: HIIT Cardio; Tue: Bodyweight Circuit; Wed: Burpees; Thu: Bodyweight Circuit; Fri: Jump Rope; Sat: Running in Place; Sun: HIIT Cardio,Breakfast: Veggie Soup + Bread; Lunch: Fruit + Nuts; Snacks: Smoothie Bowl; Dinner: Veggie Soup + Bread; Breakfast2: Smoothie Bowl; Lunch2: Fruit + Nuts; Snacks2: Veg Wrap + Rice
teen,male,medium,underweight,home,flexibility,medium,vegan,Mon: Pilates Mat; Tue: Yoga Flow; Wed: Yoga Flow; Thu: Pilates Mat; Fri: Stretching; Sat: Mobility Drills; Sun: Mobility Drills,Breakfast: Veg Stir Fry + Rice; Lunch: Fruit + Almond Yogurt; Snacks: Salads + Tofu; Dinner: Oatmeal + Soy Milk; Breakfast2: Oatmeal + Soy Milk; Lunch2: Fruit + Almond Yogurt; Snacks2: Veg Stir Fry + Rice
senior,male,tall,obese,gym,weight-loss,low,non-vegetarian,Mon: Cross Trainer; Tue: Spinning; Wed: Battle Ropes; Thu: Rowing Machine; Fri: Battle Ropes; Sat: Treadmill HIIT; Sun: Spinning,Breakfast: Eggs + Oats + Milk; Lunch: Fish + Sweet Potato; Snacks: Protein Shake + Nuts; Dinner: Fish + Sweet Potato; Breakfast2: Chicken + Rice + Veg; Lunch2: Chicken + Rice + Veg; Snacks2: Eggs + Oats + Milk
middle,male,tall,normal,home,weight-loss,high,vegetarian,Mon: Burpees; Tue: Mountain Climbers; Wed: Jumping Jacks; Thu: Burpees; Fri: High Knees; Sat: Bodyweight Circuit; Sun: High Knees,Breakfast: Vegetable Salad + Quinoa; Lunch: Fruit + Nuts; Snacks: Oats + Skim Milk + Banana; Dinner: Vegetable Salad + Quinoa; Breakfast2: Lentil Soup + Veggies; Lunch2: Oats + Skim Milk + Banana; Snacks2: Fruit + Nuts
